MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,DORSAL
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2323672,J. Caballero Solana,J. Caballero Solana,1,12.8,771.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,14.6,11.9,0.0,0.0,0.0,25.0,14.4,0
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2375172,D. Agúndez Blázquez,D. Agúndez Blázquez,0,10.4,622.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.0,-16.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,8.9,4
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2375242,C. Chapa Márquez,C. Chapa Márquez,1,29.0,1740.0,12.0,5.0,9.0,0.0,7.0,5.0,16.0,2.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,4.0,34.6,31.2,43.8,18.8,1.1,0.0,1.5,0.0,9.7,5.2,39.5,1.7,0.0,5.5,29.2,10
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2287400,C. Córdova Alegre,C. Córdova Alegre,1,44.8,2685.0,12.0,5.0,7.0,0.0,0.0,5.0,7.0,2.0,2.0,4.0,3.0,7.0,3.0,5.0,1.0,0.0,1.0,2.0,1.0,15.0,-14.0,76.1,71.4,0.0,28.6,1.4,0.0,2.0,9.8,6.3,7.9,18.8,1.1,0.0,38.8,13.3,11
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2407191,J. Cacho Reguero,J. Cacho Reguero,1,42.3,2536.0,9.0,1.0,3.0,2.0,7.0,3.0,10.0,1.0,2.0,1.0,5.0,6.0,0.0,6.0,3.0,1.0,0.0,4.0,1.0,2.0,-14.0,41.4,40.0,70.0,20.0,0.7,0.9,2.0,2.6,11.1,7.2,0.0,3.4,2.7,35.5,18.4,13
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2375472,P. Domingos Cuadrado,P. Domingos Cuadrado,0,31.1,1865.0,4.0,2.0,6.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,2.0,2.0,1.0,-2.0,-11.0,25.0,25.0,25.0,0.0,0.7,0.0,0.0,0.0,15.1,8.1,7.9,0.0,0.0,38.5,19.3,19
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2375154,B. León Tejera,B. León Tejera,1,35.6,2134.0,18.0,5.0,9.0,0.0,4.0,5.0,13.0,8.0,9.0,1.0,11.0,12.0,7.0,8.0,2.0,1.0,0.0,5.0,12.0,30.0,-3.0,53.1,38.5,30.8,69.2,1.1,0.0,0.8,3.1,29.0,17.0,59.3,2.7,3.2,32.1,32.4,30
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,2406700,P. Leon Tejera,P. Leon Tejera,0,19.1,1147.0,5.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,-14.0,57.9,50.0,66.7,100.0,0.0,1.5,3.0,0.0,4.9,2.6,0.0,0.0,0.0,18.8,12.9,77
2513095,PRIMERA FASE A,981968,JOVENTUT BADALONA A,AWAY,2318813,M. Lopez Martínez,M. Lopez Martínez,0,15.4,925.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,-2.0,-1.0,17.4,0.0,100.0,100.0,0.0,0.0,2.0,6.1,7.1,6.6,0.0,3.2,0.0,0.0,15.1,2
2513095,PRIMERA FASE A,981968,JOVENTUT BADALONA A,AWAY,2154246,I. Perez Vasco,I. Perez Vasco,1,34.9,2092.0,28.0,9.0,14.0,1.0,10.0,10.0,24.0,7.0,9.0,3.0,7.0,10.0,2.0,4.0,4.0,1.0,0.0,2.0,5.0,28.0,9.0,50.1,43.8,41.7,37.5,1.3,0.3,1.8,8.1,22.0,14.5,18.5,5.7,3.4,12.5,37.0,4
2513095,PRIMERA FASE A,981968,JOVENTUT BADALONA A,AWAY,2216160,A. Pique Baraza,A. Pique Baraza,1,19.9,1196.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,-1.0,-1.0,0.0,0.0,100.0,40.0,0.0,0.0,2.0,4.7,0.0,2.5,38.5,5.0,0.0,0.0,11.9,9
2513095,PRIMERA FASE A,981968,JOVENTUT BADALONA A,AWAY,2256602,G. Lopez Pino,G. Lopez Pino,0,26.0,1561.0,9.0,2.0,7.0,1.0,3.0,3.0,10.0,2.0,2.0,2.0,7.0,9.0,2.0,6.0,1.0,0.0,0.0,2.0,4.0,10.0,3.0,41.4,35.0,30.0,20.0,0.6,1.0,0.5,7.2,29.5,17.5,15.9,1.9,0.0,35.5,26.2,10
2513095,PRIMERA FASE A,981968,JOVENTUT BADALONA A,AWAY,2198044,P. Escuert Martín,P. Escuert Martín,0,21.6,1295.0,9.0,3.0,5.0,0.0,3.0,3.0,8.0,3.0,7.0,1.0,5.0,6.0,3.0,5.0,1.0,2.0,0.0,3.0,4.0,8.0,16.0,40.6,37.5,37.5,87.5,1.2,0.0,1.8,4.3,25.4,14.0,30.0,2.3,11.0,31.1,30.1,11
