MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,DORSAL
2512420,Final,980023,GEIEG PACISA,HOME,1949920,,J. Pairo Urtos,1,25.0,1498.0,8.0,1.0,2.0,2.0,5.0,3.0,7.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,-18.0,57.1,57.1,71.4,0.0,1.0,1.2,0.0,0.0,18.6,10.0,0.0,0.0,0.0,0.0,14.0,
2512420,Final,980023,GEIEG PACISA,HOME,1917788,,M. Carbo Cachinero,0,16.8,1008.0,6.0,0.0,3.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,-1.0,1.0,60.0,60.0,40.0,0.0,0.0,3.0,0.0,0.0,5.5,3.0,22.7,0.0,0.0,28.6,20.9,
2512420,Final,980023,GEIEG PACISA,HOME,1944150,,M. Melero Bravo,1,29.6,1778.0,14.0,4.0,7.0,1.0,5.0,5.0,12.0,3.0,6.0,0.0,5.0,5.0,3.0,4.0,4.0,0.0,1.0,3.0,6.0,15.0,-22.0,47.8,45.8,41.7,50.0,1.1,0.6,1.0,0.0,15.7,8.4,48.4,7.4,0.0,21.5,31.6,
2512420,Final,980023,GEIEG PACISA,HOME,1667386,,C. Morente Lopez,0,17.7,1064.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,8.0,-6.0,50.0,50.0,100.0,0.0,0.0,1.0,0.0,6.1,5.3,5.6,0.0,6.2,0.0,0.0,8.5,
2512420,Final,980023,GEIEG PACISA,HOME,1567998,,V. Gonzalez Olaizola,0,22.3,1339.0,11.0,2.0,7.0,0.0,0.0,2.0,7.0,7.0,13.0,3.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,5.0,7.0,10.0,7.0,43.2,28.6,0.0,185.7,0.6,0.0,1.9,14.5,16.7,15.7,0.0,2.5,4.7,7.3,30.9,
2512420,Final,980023,GEIEG PACISA,HOME,1666109,,A. Coma Perpiña,1,26.0,1561.0,10.0,1.0,4.0,0.0,3.0,1.0,7.0,8.0,8.0,1.0,4.0,5.0,3.0,1.0,2.0,0.0,0.0,2.0,5.0,16.0,-7.0,47.5,14.3,42.9,114.3,0.5,0.0,1.6,4.2,14.3,9.6,29.4,4.2,0.0,8.7,22.2,
2512420,Final,980023,GEIEG PACISA,HOME,1926754,,J. Fernandez Pinsach,1,29.5,1770.0,6.0,2.0,12.0,0.0,0.0,2.0,12.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,-22.0,23.3,16.7,0.0,16.7,0.3,0.0,1.0,11.0,3.2,6.8,32.6,0.0,7.1,7.2,23.6,
2512420,Final,980023,GEIEG PACISA,HOME,2239082,,N. Mitjanas Costa,1,25.0,1499.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.3,14.9,10.0,20.8,2.2,0.0,0.0,8.0,
2512420,Final,980023,GEIEG PACISA,HOME,2059054,,A. Riera Buil,0,8.1,483.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,
2512420,Final,981340,MARISTAS CORUÑA,AWAY,1718833,N. Rios Maqueda,N. Rios Maqueda,1,29.4,1762.0,7.0,2.0,4.0,1.0,2.0,3.0,6.0,0.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,3.0,1.0,22.0,45.1,58.3,33.3,66.7,1.0,1.5,1.3,3.2,3.7,3.4,12.0,1.9,0.0,34.0,17.6,
2512420,Final,981340,MARISTAS CORUÑA,AWAY,2167990,N. Dimitrijevic,N. Dimitrijevic,0,28.1,1685.0,9.0,3.0,3.0,0.0,3.0,3.0,6.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,0.0,0.0,2.0,4.0,17.0,12.0,58.0,50.0,50.0,66.7,2.0,0.0,1.0,3.3,11.5,7.1,24.1,6.0,0.0,11.4,13.7,
2512420,Final,981340,MARISTAS CORUÑA,AWAY,1815863,A. Jimenez Garcia,A. Jimenez Garcia,0,26.8,1609.0,13.0,2.0,5.0,3.0,8.0,5.0,13.0,0.0,0.0,2.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,10.0,12.0,50.0,50.0,61.5,0.0,0.8,1.1,0.0,6.9,20.2,13.1,0.0,0.0,3.9,7.1,23.0,
2512420,Final,981340,MARISTAS CORUÑA,AWAY,2065951,C. Naya Angeriz,C. Naya Angeriz,0,6.0,359.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-8.0,50.0,50.0,50.0,0.0,2.0,0.0,0.0,15.5,0.0,8.3,55.6,9.4,0.0,0.0,14.7,
