MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,1549741,E. Arques Lopez,E. Arques Lopez,0,22.8,1370.0,11.0,2.0,5.0,2.0,4.0,4.0,9.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,-10.0,51.1,55.6,44.4,44.4,0.8,1.5,1.3,5.8,12.5,9.7,7.5,0.0,0.0,8.5,23.4
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,2436640,J. Puidet,J. Puidet,1,34.0,2040.0,11.0,3.0,3.0,0.0,7.0,3.0,10.0,5.0,5.0,1.0,5.0,6.0,12.0,1.0,0.0,0.0,0.0,2.0,3.0,22.0,21.0,45.1,30.0,70.0,50.0,2.0,0.0,1.7,3.9,14.0,9.8,59.4,0.0,0.0,7.6,17.6
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,2312124,S. Traore,S. Traore,1,16.5,992.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,10.0,13.0,94.7,0.0,0.0,0.0,0.0,0.0,1.2,8.1,11.5,10.1,0.0,0.0,8.1,27.5,10.0
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,2065452,J. Santano Bartolome,J. Santano Bartolome,1,24.8,1488.0,9.0,4.0,4.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,15.0,24.0,92.2,100.0,0.0,50.0,2.0,0.0,2.0,5.4,11.5,9.0,7.5,4.0,0.0,0.0,8.9
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,2816555,L. Savikjevikj,L. Savikjevikj,0,16.7,1001.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,-12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.7,3.3,43.1,0.0,0.0,0.0,2.7
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,1374966,A. Moreno Trujillo,A. Moreno Trujillo,0,17.1,1028.0,9.0,3.0,6.0,1.0,6.0,4.0,12.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,4.0,0.0,1.0,-5.0,37.5,37.5,50.0,0.0,1.0,0.5,0.0,7.8,5.6,6.5,13.2,8.8,0.0,14.3,37.2
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,2816737,D. Simeunovic,D. Simeunovic,1,30.6,1833.0,13.0,6.0,11.0,0.0,4.0,6.0,15.0,1.0,2.0,4.0,8.0,12.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,19.0,3.0,40.9,40.0,26.7,13.3,1.1,0.0,0.7,17.4,24.9,21.8,17.4,3.3,0.0,11.2,26.5
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,2752020,E. Medina Roa,E. Medina Roa,0,12.6,757.0,12.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,9.0,4.0,100.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,7.6,4.4,0.0,0.0,10.6,25.0,28.8
2486849,1,981514,SPANISH BASKETBALL ACADEMY,HOME,1825944,R. Garcia Salame,R. Garcia Salame,1,24.9,1491.0,8.0,1.0,5.0,1.0,4.0,2.0,9.0,3.0,4.0,2.0,5.0,7.0,2.0,3.0,1.0,0.0,0.0,2.0,7.0,12.0,22.0,37.2,27.8,44.4,44.4,0.4,0.8,0.6,10.7,19.1,15.6,13.0,2.0,0.0,21.8,25.1
2486849,1,981281,LOBE HUESCA LA MAGIA,AWAY,2151562,O. Thiam Pedrera,O. Thiam Pedrera,0,17.6,1055.0,7.0,0.0,2.0,2.0,6.0,2.0,8.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,-2.0,39.4,37.5,75.0,25.0,0.0,1.0,2.0,10.8,15.2,12.6,0.0,0.0,0.0,0.0,21.7
2486849,1,981281,LOBE HUESCA LA MAGIA,AWAY,2273469,O. Bieshaar,O. Bieshaar,1,22.6,1354.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,-1.0,-13.0,34.7,0.0,50.0,100.0,0.0,0.0,2.0,0.0,5.9,2.5,7.2,2.3,0.0,41.0,9.3
