MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,DORSAL
2484017,1,982146,CB BOET MATARÓ,HOME,1948341,E. Nogues Martin,E. Nogues Martin,1,36.8,2205.0,16.0,3.0,6.0,3.0,10.0,6.0,16.0,1.0,2.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,4.0,15.0,-8.0,47.4,46.9,62.5,12.5,1.0,0.9,0.5,0.0,5.2,2.9,30.3,1.4,0.0,5.6,21.4,
2484017,1,982146,CB BOET MATARÓ,HOME,2156420,M. Garcia Ibañez,M. Garcia Ibañez,0,23.9,1433.0,11.0,4.0,5.0,1.0,6.0,5.0,11.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,5.0,-6.0,46.3,50.0,54.5,18.2,1.6,0.5,0.7,4.9,4.0,4.4,10.0,2.2,0.0,14.4,25.6,
2484017,1,982146,CB BOET MATARÓ,HOME,1489820,J. Serra Anglès,J. Serra Anglès,1,26.0,1560.0,8.0,1.0,1.0,2.0,6.0,3.0,7.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,11.0,-6.0,57.1,57.1,85.7,0.0,2.0,1.0,0.0,0.0,22.0,12.1,20.7,4.0,0.0,30.0,16.9,
2484017,1,982146,CB BOET MATARÓ,HOME,2080794,A. Diez Valero,A. Diez Valero,1,31.1,1868.0,11.0,4.0,9.0,1.0,4.0,5.0,13.0,0.0,0.0,4.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,42.3,42.3,30.8,0.0,0.9,0.8,0.0,15.1,12.2,13.5,20.0,0.0,0.0,23.5,24.1,
2484017,1,982146,CB BOET MATARÓ,HOME,1946645,P. Moreno Martin,P. Moreno Martin,0,14.2,853.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-3.0,-4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,8.3,0.0,3.7,10.0,0.0,0.0,50.0,12.4,
2484017,1,982146,CB BOET MATARÓ,HOME,2466278,A. Beltran Mata,A. Beltran Mata,1,31.2,1872.0,11.0,1.0,3.0,2.0,4.0,3.0,7.0,3.0,3.0,0.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,11.0,3.0,66.1,57.1,57.1,42.9,0.7,1.5,3.0,0.0,12.2,6.7,17.6,1.7,0.0,32.5,17.4,
2484017,1,982146,CB BOET MATARÓ,HOME,1073361,H. Olaguibe Gonzalez,H. Olaguibe Gonzalez,1,22.9,1371.0,6.0,3.0,5.0,0.0,1.0,3.0,6.0,0.0,0.0,2.0,4.0,6.0,3.0,5.0,1.0,1.0,0.0,3.0,3.0,9.0,-1.0,50.0,50.0,16.7,0.0,1.2,0.0,0.0,10.3,16.6,13.8,25.0,2.3,3.6,45.5,21.2,
2484017,1,982146,CB BOET MATARÓ,HOME,2625681,J. Esono Mba,J. Esono Mba,0,14.0,838.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,1.0,3.0,2.0,5.0,-9.0,39.9,0.0,0.0,200.0,0.0,0.0,2.0,8.4,13.6,11.3,0.0,0.0,23.8,21.0,15.0,
2484017,1,981218,FLANIGAN CALVIÀ,AWAY,2042270,J. Gonzalez Lopez,J. Gonzalez Lopez,0,15.4,922.0,8.0,2.0,4.0,1.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,7.0,58.1,58.3,33.3,33.3,1.0,1.5,2.0,6.2,7.6,6.8,33.3,3.2,0.0,22.5,24.1,
2484017,1,981218,FLANIGAN CALVIÀ,AWAY,1766189,M. Garcia Calvo,M. Garcia Calvo,1,24.6,1478.0,4.0,2.0,5.0,0.0,4.0,2.0,9.0,0.0,2.0,0.0,5.0,5.0,6.0,2.0,2.0,0.0,0.0,0.0,6.0,12.0,-1.0,20.2,22.2,44.4,22.2,0.8,0.0,0.3,0.0,23.9,10.7,37.5,4.0,0.0,16.8,20.2,
