MATCHID,ROUND,SCORE_STR
2479683,1,75-84
2479684,1,83-58
2479685,1,56-48
2479686,1,61-52
2479687,1,77-47
2479688,1,80-66
2479689,1,75-79
2479690,2,53-60
2479691,2,77-70
2479692,2,52-61
2479693,2,59-58
2479694,2,45-51
2479695,2,47-69
2479696,2,53-67
2479697,3,58-62
2479698,3,69-48
2479699,3,90-79
2479700,3,72-41
2479701,3,77-72
2479702,3,80-61
2479703,3,62-66
2479704,4,61-48
2479705,4,63-57
2479706,4,76-42
2479707,4,75-87
2479708,4,59-71
2479709,4,48-68
2479710,4,57-62
2479711,5,76-68
2479712,5,76-61
2479713,5,73-60
2479714,5,94-77
2479715,5,69-41
2479716,5,61-54
2479717,5,68-48
2479718,6,61-65
2479719,6,84-64
2479720,6,60-64
2479721,6,75-87
2479722,6,68-54
2479723,6,63-65
2479724,6,72-71
2479725,7,69-65
2479726,7,58-60
2479727,7,62-90
2479728,7,85-65
2479729,7,73-68
2479730,7,54-39
2479731,7,49-79
2479732,8,89-60
2479733,8,70-65
2479734,8,60-70
2479735,8,77-71
2479736,8,61-67
2479737,8,48-60
2479738,8,62-74
2479739,9,55-58
2479740,9,60-71
2479741,9,66-78
2479742,9,76-62
2479743,9,67-60
2479744,9,74-50
2479745,9,69-51
2479746,10,42-43
2479747,10,46-63
2479748,10,76-67
2479749,10,67-47
2479750,10,62-59
2479751,10,80-64
2479752,10,73-59
2479753,11,81-85
2479754,11,91-86
2479755,11,68-82
2479756,11,58-75
2479757,11,63-70
2479758,11,69-55
2479759,11,69-59
2479760,12,68-51
2479761,12,57-41
2479762,12,72-73
2479763,12,69-60
2479764,12,64-47
2479765,12,102-69
2479766,12,88-66
2479767,13,81-96
2479768,13,57-68
2479769,13,46-67
2479770,13,46-61
2479771,13,78-52
2479772,13,67-63
2479773,13,57-58
2479774,14,66-68
2479775,14,73-67
2479776,14,39-49
2479777,14,76-72
2479778,14,67-68
2479779,14,59-75
2479780,14,74-62
2479781,15,73-72
2479782,15,76-81
2479783,15,79-65
2479784,15,53-64
2479785,15,64-53
2479786,15,75-55
2479787,15,64-61
2479788,16,73-50
2479789,16,67-63
2479790,16,65-87
2479791,16,58-55
2479792,16,75-49
2479793,16,75-70
2479794,16,61-69
2479795,17,85-68
2479796,17,81-66
2479797,17,54-67
2479798,17,58-39
2479799,17,70-49
2479800,17,73-64
2479801,17,57-53
2479802,18,52-42
2479803,18,67-59
2479804,18,58-62
2479805,18,78-89
2479806,18,68-51
2479807,18,85-49
2479808,18,64-71
2479809,19,71-68
2479810,19,56-74
2479811,19,94-58
2479812,19,70-67
2479813,19,75-67
2479814,19,67-48
2479815,19,67-57
2479816,20,77-72
2479817,20,58-63
2479818,20,66-78
2479819,20,96-91
2479820,20,67-89
2479821,20,56-58
2479822,20,57-51
2479823,21,61-53
2479824,21,74-56
2479825,21,71-61
2479826,21,76-74
2479827,21,85-68
2479828,21,56-54
2479829,21,65-57
2479830,22,76-57
2479831,22,92-70
2479832,22,73-63
2479833,22,89-59
2479834,22,69-49
2479835,22,72-84
2479836,22,30-59
2479837,23,61-53
2479838,23,76-49
2479839,23,75-58
2479840,23,66-65
2479841,23,79-71
2479842,23,73-78
2479843,23,86-57
2479844,24,74-71
2479845,24,75-67
2479846,24,71-63
2479847,24,81-63
2479848,24,79-58
2479849,24,57-65
2479850,24,54-69
2479851,25,68-84
2479852,25,50-42
2479853,25,73-51
2479854,25,79-69
2479855,25,61-85
2479856,25,52-80
2479857,25,60-72
2479858,26,58-67
2479859,26,69-45
2479860,26,74-36
2479861,26,71-63
2479862,26,62-71
2479863,26,65-66
2479864,26,55-47
