MATCHID,ROUND,SCORE_STR
2509188,1,92-43
2509189,1,67-77
2509190,1,65-99
2509191,1,89-79
2509192,2,70-76
2509193,2,101-95
2509194,2,93-78
2509195,2,80-92
2509196,3,78-67
2509197,3,102-103
2509198,3,57-81
2509199,3,90-73
2509200,4,98-69
2509201,4,80-57
2509202,4,81-89
2509203,4,97-93
2509204,5,102-75
2509205,5,70-77
2509206,5,68-97
2509207,5,101-94
2509208,6,82-90
2509209,6,86-82
2509210,6,76-69
2509211,6,76-78
2509212,7,78-60
2509213,7,99-104
2509214,7,82-74
2509215,7,90-71
2509216,8,72-76
2509217,8,86-83
2509218,8,74-89
2509219,8,77-94
2509220,9,72-81
2509221,9,81-66
2509222,9,68-81
2509223,9,80-85
2509224,10,99-61
2509225,10,60-81
2509226,10,59-69
2509227,10,110-93
2509228,11,102-85
2509229,11,82-84
2509230,11,79-92
2509231,11,71-69
2509232,12,77-71
2509233,12,92-53
2509234,12,71-69
2509235,12,85-75
2509236,13,86-67
2509237,13,LUNES06/04/202619:00
2509238,13,64-74
2509239,13,DOMINGO05/04/202613:30
2509240,14,VIERNES17/04/202619:00
2509241,14,VIERNES17/04/202618:30
2509242,14,VIERNES17/04/202619:00
2509243,14,VIERNES17/04/202620:00
