MATCHID,ROUND,SCORE_STR
2484017,1,66-72
2484018,1,87-66
2484019,1,83-79
2484020,1,85-58
2484021,1,67-72
2484022,1,94-89
2484023,1,95-63
2484024,2,74-75
2484025,2,69-61
2484026,2,63-79
2484027,2,81-86
2484028,2,69-76
2484029,2,64-54
2484030,2,64-106
2484031,3,69-86
2484032,3,71-76
2484033,3,73-72
2484034,3,68-74
2484035,3,85-70
2484036,3,78-74
2484037,3,75-82
2484038,4,89-66
2484039,4,61-64
2484040,4,55-84
2484041,4,60-90
2484042,4,69-72
2484043,4,68-79
2484044,4,92-61
2484045,5,80-92
2484046,5,72-79
2484047,5,90-94
2484048,5,85-80
2484049,5,78-68
2484050,5,109-79
2484051,5,83-65
2484052,6,73-78
2484053,6,55-92
2484054,6,100-78
2484055,6,77-113
2484056,6,97-101
2484057,6,92-67
2484058,6,84-70
2484059,7,52-79
2484060,7,73-67
2484061,7,73-77
2484062,7,73-62
2484063,7,82-77
2484064,7,90-69
2484065,7,79-74
2484066,8,85-82
2484067,8,70-67
2484068,8,52-71
2484069,8,87-82
2484070,8,92-85
2484071,8,82-90
2484072,8,81-77
2484073,9,76-70
2484074,9,83-95
2484075,9,95-57
2484076,9,73-90
2484077,9,95-97
2484078,9,81-63
2484079,9,77-80
2484080,10,72-63
2484081,10,82-74
2484082,10,85-88
2484083,10,63-72
2484084,10,69-70
2484085,10,61-81
2484086,10,95-88
2484087,11,97-104
2484088,11,96-71
2484089,11,63-75
2484090,11,72-59
2484091,11,62-98
2484092,11,84-79
2484093,11,101-98
2484094,12,80-108
2484095,12,78-100
2484096,12,100-68
2484097,12,59-68
2484098,12,76-85
2484099,12,77-73
2484100,12,96-97
2484101,13,61-56
2484102,13,68-90
2484103,13,112-68
2484104,13,75-73
2484105,13,62-75
2484106,13,82-101
2484107,13,73-85
2484108,14,80-53
2484109,14,97-81
2484110,14,64-75
2484111,14,73-87
2484112,14,66-78
2484113,14,89-73
2484114,14,78-84
2484115,15,77-87
2484116,15,82-78
2484117,15,91-70
2484118,15,66-65
2484119,15,92-73
2484120,15,78-68
2484121,15,96-77
2484122,16,80-67
2484123,16,85-88
2484124,16,70-61
2484125,16,91-81
2484126,16,66-71
2484127,16,70-77
2484128,16,84-67
2484129,17,81-91
2484130,17,81-68
2484131,17,73-62
2484132,17,97-100
2484133,17,73-71
2484134,17,87-68
2484135,17,74-95
2484136,18,95-62
2484137,18,94-63
2484138,18,89-99
2484139,18,91-71
2484140,18,78-95
2484141,18,68-81
2484142,18,55-88
2484143,19,70-81
2484144,19,89-66
2484145,19,89-86
2484146,19,75-89
2484147,19,81-78
2484148,19,71-78
2484149,19,80-82
2484150,20,69-68
2484151,20,80-96
2484152,20,99-69
2484153,20,57-75
2484154,20,84-86
2484155,20,78-84
2484156,20,71-79
2484157,21,70-54
2484158,21,74-69
2484159,21,98-81
2484160,21,90-88
2484161,21,71-93
2484162,21,79-87
2484163,21,73-60
2484164,22,85-69
2484165,22,69-82
2484166,22,75-94
2484167,22,118-71
2484168,22,60-62
2484169,22,84-78
2484170,22,88-69
2484171,23,108-59
2484172,23,74-81
2484173,23,74-88
2484174,23,84-80
2484175,23,74-69
2484176,23,94-88
2484177,23,69-65
2484178,24,113-82
2484179,24,100-96
2484180,24,94-81
2484181,24,80-75
2484182,24,73-68
2484183,24,76-57
2484184,24,79-69
2484185,25,69-57
2484186,25,67-80
2484187,25,70-81
2484188,25,76-58
2484189,25,80-72
2484190,25,98-82
2484191,25,77-76
2484192,26,78-101
2484193,26,88-62
2484194,26,73-86
2484195,26,51-74
2484196,26,98-69
2484197,26,78-66
2484198,26,70-68
