MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,P1_ID,P1_NAME,P1_POS,P2_ID,P2_NAME,P2_POS,P3_ID,P3_NAME,P3_POS,P4_ID,P4_NAME,P4_POS,P5_ID,P5_NAME,P5_POS,MINUTES,SECONDS,PTS_FOR,PTS_AGAINST,PLUS_MINUS,PTS_FOR_PER40,PTS_AGT_PER40,NET_PER40
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,1572741,H. Oma Giralt,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,2.5,149.0,5.0,4.0,1.0,80.5,64.4,16.1
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,1572741,H. Oma Giralt,SF,2432613,N. Fingall,PF,2814962,A. Gueye,C,5.3,316.0,9.0,13.0,-4.0,68.4,98.7,-30.4
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,2622325,O. Bankole,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,0.6,34.0,0.0,2.0,-2.0,0.0,141.2,-141.2
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,2622325,O. Bankole,SF,2432613,N. Fingall,PF,2814962,A. Gueye,C,6.5,392.0,17.0,12.0,5.0,104.1,73.5,30.6
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,2622325,O. Bankole,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,1.8,107.0,6.0,6.0,0.0,134.6,134.6,0.0
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,2.3,140.0,3.0,2.0,1.0,51.4,34.3,17.1
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,5.8,346.0,17.0,10.0,7.0,117.9,69.4,48.6
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,2432613,N. Fingall,PF,2814962,A. Gueye,C,0.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,1.8,106.0,2.0,0.0,2.0,45.3,0.0,45.3
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,2622325,O. Bankole,SF,1572741,H. Oma Giralt,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,4.5,273.0,13.0,4.0,9.0,114.3,35.2,79.1
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,2814809,V. Vorackova,SG,1572741,H. Oma Giralt,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,0.7,43.0,2.0,0.0,2.0,111.6,0.0,111.6
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,2814809,V. Vorackova,SG,1572741,H. Oma Giralt,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,4.2,249.0,5.0,13.0,-8.0,48.2,125.3,-77.1
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,2814809,V. Vorackova,SG,2622325,O. Bankole,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,0.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2512646,Cuartos de Final,979954,CASADEMONT ZARAGOZA,AWAY,703084,M. Ortiz Vives,PG,2814809,V. Vorackova,SG,2622325,O. Bankole,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,2.8,172.0,5.0,2.0,3.0,69.8,27.9,41.9
2512646,Cuartos de Final,981322,INGENIERÍA AMBIENTAL CAB ESTEPONA,HOME,2100039,C. Contell Sanchis,PG,2030234,M. Gretter,PG,1593358,M. Ortega Campos,PG,1641657,N. Masia Llanes,SF,1869976,L. Rodriguez Arribas,PF,27.7,1655.0,49.0,55.0,-6.0,71.1,79.8,-8.7
2512646,Cuartos de Final,981322,INGENIERÍA AMBIENTAL CAB ESTEPONA,HOME,2100039,C. Contell Sanchis,PG,2030234,M. Gretter,PG,1593358,M. Ortega Campos,PG,1869976,L. Rodriguez Arribas,PF,2824675,L. Dongue,PF,4.7,287.0,6.0,15.0,-9.0,50.2,125.4,-75.3
2512646,Cuartos de Final,981322,INGENIERÍA AMBIENTAL CAB ESTEPONA,HOME,2100039,C. Contell Sanchis,PG,2030234,M. Gretter,PG,1869976,L. Rodriguez Arribas,PF,2824675,L. Dongue,PF,2446557,C. Muhate Peña,PF,7.6,458.0,13.0,14.0,-1.0,68.1,73.4,-5.2
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,1572741,H. Oma Giralt,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,0.8,51.0,5.0,0.0,5.0,235.3,0.0,235.3
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,3.2,192.0,5.0,2.0,3.0,62.5,25.0,37.5
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,1572736,L. Flores Costa,PG,2622325,O. Bankole,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,2814962,A. Gueye,C,0.3,19.0,1.0,0.0,1.0,126.3,0.0,126.3
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,1572741,H. Oma Giralt,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,3.4000000000000004,207.0,6.0,4.0,2.0,69.6,46.4,23.2
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,1572741,H. Oma Giralt,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,10.899999999999999,649.0,25.0,7.0,18.0,92.4,25.9,66.6
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,1572736,L. Flores Costa,PG,2814809,V. Vorackova,SG,2622325,O. Bankole,SF,2642682,S. Mawuli,PF,2432613,N. Fingall,PF,1.9,116.0,8.0,4.0,4.0,165.5,82.8,82.8
2512647,Cuartos de Final,979954,CASADEMONT ZARAGOZA,HOME,703084,M. Ortiz Vives,PG,2622325,O. Bankole,SF,1572741,H. Oma Giralt,SF,2432613,N. Fingall,PF,2631378,M. Hempe,PF,8.0,480.0,18.0,7.0,11.0,90.0,35.0,55.0
