PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
2068439,H. Murillo Pons,INSOLAC CB ALCALÁ CAJA87 2010,PF,3&D Wing,32.5,11.5,35.8,39.5,6.6,2.5,22.7,20.2,7.6,1.4,3.3,28.6,26.3,66.7,24.3,73.8
2154246,I. Perez Vasco,JOVENTUT BADALONA A,SG,Lead Guard,25.8,20.0,49.9,55.8,11.7,7.1,33.5,32.1,19.1,5.8,2.3,63.6,10.0,81.8,25.1,28.2
2175380,L. Martinez Jurado,TLSI GODELLA,,3&D Wing,22.4,7.5,38.6,48.0,0.0,0.0,49.1,13.8,3.2,1.0,0.0,83.3,0.0,83.3,22.5,54.4
2198044,P. Escuert Martín,JOVENTUT BADALONA A,C,Traditional Center,18.6,9.0,39.8,44.1,22.2,9.4,80.7,27.7,35.2,2.7,6.4,50.0,0.0,50.0,23.2,21.8
2198836,J. Santos Garcia,LA SALLE,C,Traditional Center,23.4,8.5,48.9,49.7,14.5,5.6,15.2,16.9,11.7,1.8,0.0,50.0,0.0,50.0,21.9,0.0
2216160,A. Pique Baraza,JOVENTUT BADALONA A,PG,Lead Guard,17.1,2.0,21.0,22.3,0.0,2.7,107.2,11.0,34.5,7.3,0.0,100.0,0.0,33.3,3.1,79.0
2231479,J. Mora Gallego,LA SALLE,,Traditional Center,19.9,4.5,17.6,32.0,24.3,4.6,448.6,18.1,5.9,2.2,0.0,42.9,0.0,25.0,7.5,59.0
2231480,A. Ortega Crespo,LA SALLE,PG,Offensive Engine,28.6,7.0,31.9,35.7,22.4,3.0,36.3,17.7,12.6,3.8,0.0,40.0,14.3,50.0,8.7,41.4
2244519,P. Gil Martin,JOVENTUT BADALONA A,SG,Lead Guard,19.1,7.0,38.5,39.6,14.0,4.7,11.1,21.4,9.7,4.0,0.0,50.0,23.1,50.0,2.9,75.1
2249100,D. Castro Alonso,C.B. CLAVIJO A CADETE,,3&D Wing,23.4,12.5,58.7,59.0,30.0,2.1,11.6,25.2,14.3,1.8,1.7,50.0,50.0,50.0,18.3,40.6
2256279,G. Freixa Casals,JOVENTUT BADALONA A,C,Traditional Center,21.6,9.0,71.2,74.3,13.7,18.9,24.6,13.4,7.1,5.8,2.8,66.7,0.0,100.0,12.7,0.0
2256602,G. Lopez Pino,JOVENTUT BADALONA A,C,Lead Guard,21.9,8.0,41.1,44.9,38.0,10.1,11.9,25.8,12.9,4.6,0.0,33.3,40.0,100.0,29.5,29.4
2256824,P. Nieto Lozano,JOVENTUT BADALONA A,C,Lead Guard,13.4,3.0,52.7,52.7,10.5,13.6,0.0,10.1,10.0,7.5,4.4,60.0,0.0,0.0,16.1,14.0
2264264,J. De La Lama Romano,ALIMERKA OVIEDO BALONCESTO,,Rolling Big,14.7,4.5,21.9,32.8,0.0,4.9,37.4,16.3,0.0,0.0,0.0,0.0,40.0,75.0,21.0,38.6
