PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1080472,P. Benet Edo,EL PLANTEL GMASB,PG,Offensive Engine,23.2,9.2,44.1,48.4,12.0,2.7,34.6,22.2,32.4,2.3,0.6,40.3,31.7,68.9,14.1,48.4
1100445,Y. Garcia Gonzalez,MAGEC TÍAS LANZAROTE CONTRA LA VIOLENCIA DE GÉNERO,C,Traditional Center,32.0,13.8,41.6,48.2,18.3,8.9,64.1,25.8,16.3,1.6,0.9,42.2,12.5,66.7,17.7,5.5
1111828,L. Fernandez Fiel,EL PLANTEL GMASB,SG,Offensive Engine,26.0,10.1,40.3,45.0,15.5,3.2,39.7,24.1,15.4,1.5,0.0,42.3,24.7,71.6,9.8,37.1
1131087,B. Armengol Vall,C. B. ISLA BONITA,PG,Offensive Engine,27.7,9.1,35.8,42.5,21.4,2.8,55.7,21.8,23.9,2.7,0.0,41.2,24.2,64.1,12.1,47.5
1158794,A. Fernandez Oraa,HIERROS DÍAZ EXTREMADURA MIRALVALLE,,Rolling Big,11.5,0.8,27.9,26.4,12.2,5.3,30.2,8.1,2.6,1.6,0.0,33.3,14.3,20.0,16.4,35.3
1178705,A. Peredo Lopez,DPES CB CIUDAD DE MOSTOLES,PF,3&D Wing,19.9,4.7,31.6,34.1,12.3,2.6,12.8,16.6,17.0,1.6,1.5,25.0,26.0,76.5,25.8,69.5
1222687,B. Moreno Hurtado,DPES CB CIUDAD DE MOSTOLES,PF,3&D Wing,17.5,3.8,32.5,40.9,17.6,3.7,33.6,15.3,13.2,1.3,1.5,37.5,21.3,75.9,17.9,47.6
1372464,M. Carballo Diaz,C. B. ISLA BONITA,PG,Offensive Engine,12.2,2.9,28.8,31.9,27.7,5.1,23.3,18.0,20.6,2.0,0.0,50.0,16.1,57.1,4.7,37.3
1373989,N. Bermúdez Martín,MAGEC TÍAS LANZAROTE CONTRA LA VIOLENCIA DE GÉNERO,C,Rolling Big,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0
1398197,C. Tapia Palacio,BASKET ALMEDA,PG,Offensive Engine,20.7,4.5,29.5,33.1,18.0,4.4,30.1,17.6,22.2,2.0,0.2,41.5,12.2,60.0,8.3,44.4
1398200,J. Turrion Aranda,DISHELEC 65 VILADECANS,SG,Lead Guard,26.8,9.2,34.4,40.5,14.6,1.9,28.5,24.4,20.3,4.2,0.9,32.8,22.3,86.4,17.3,62.7
1434653,B. Martinez Sanz,DPES CB CIUDAD DE MOSTOLES,SG,Lead Guard,28.2,12.3,50.8,56.0,22.6,6.2,57.5,23.4,23.7,3.5,0.8,51.2,34.0,67.7,13.4,38.5
1450205,A. Rodriguez Guerra,MAGEC TÍAS LANZAROTE CONTRA LA VIOLENCIA DE GÉNERO,SF,Rolling Big,4.5,0.7,16.5,13.9,0.0,0.0,20.8,14.7,0.0,1.5,0.0,0.0,20.0,25.0,3.0,58.4
1461086,P. Comella Pons,ELSAMEX CB ANDRATX,SG,Offensive Engine,34.1,13.6,42.2,46.3,12.3,2.4,24.8,22.6,13.5,2.1,0.2,36.0,35.0,75.3,11.3,42.6
1471341,M. Rosales Elejabeita,C. B. ISLA BONITA,,Offensive Engine,19.0,5.1,40.4,43.8,24.4,8.3,57.2,20.3,17.9,1.7,0.2,43.1,20.0,42.6,17.6,18.1
1489116,B. Gual Castillo,ELSAMEX CB ANDRATX,SG,3&D Wing,25.8,11.9,47.0,47.7,6.3,4.2,5.3,23.9,19.3,1.2,0.0,43.5,31.7,60.0,15.4,71.7
