PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1044456,M. Asurmendi Villaverde,OSES CONSTRUCCION,PG,Offensive Engine,14.4,4.7,50.7,53.1,12.9,1.8,16.5,17.6,28.1,2.2,0.0,56.7,31.6,81.2,9.3,72.9
1083354,M. España Almendro,AZULMARINO MALLORCA PALMA,SF,High Volume Scorer,20.5,11.3,52.8,56.6,9.6,1.7,27.8,23.6,14.4,1.3,0.0,54.8,36.4,80.0,7.1,65.7
1112483,L. Mendez Lamas,ALTER ENERSUN AL-QÁZERES EXTREMADURA,PF,3&D Wing,18.2,3.3,33.1,38.7,17.5,6.9,25.2,14.4,12.9,0.9,1.2,32.4,20.8,73.9,17.3,28.5
1128614,I. Arregui Mariezcurrena,LA LAGUNA TOYOTA  ADAREVA,PG,Offensive Engine,22.7,4.0,51.8,52.4,31.3,2.7,13.3,15.5,25.4,3.0,0.0,50.0,29.7,36.4,10.3,43.9
1128614,I. Arregui Mariezcurrena,VEGA LAGUNERA TOYOTA  ADAREVA TENERIFE,PG,Offensive Engine,21.0,7.0,51.8,52.4,31.3,2.7,13.3,15.5,25.4,3.0,0.0,46.7,40.0,100.0,10.3,43.9
1160361,S. Laborda Cimas,RECOLETAS ZAMORA,,Rolling Big,2.2,0.0,0.0,0.0,52.3,0.0,0.0,10.5,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0
1242234,C. Rodriguez Nuñez,SERNOVA RENOVABLES REAL CANOE,PF,Traditional Center,33.4,9.3,52.6,55.3,16.0,9.3,42.9,14.8,10.7,1.5,3.3,55.6,21.7,62.0,18.2,11.8
1259670,B. Sanchez Marrufo,RECOLETAS ZAMORA,C,3&D Wing,25.4,7.6,48.7,56.4,10.1,6.9,56.1,14.9,7.5,2.0,0.3,41.3,32.9,76.5,18.8,52.2
1317227,C. Garcia Paunero,UNICAJA MIJAS,SG,Offensive Engine,25.0,8.5,40.5,41.9,12.1,11.9,9.0,20.2,18.4,2.3,0.3,39.0,28.9,83.3,18.4,59.3
1379088,P. Soler Suarez,LA LAGUNA TOYOTA  ADAREVA,C,3&D Wing,34.3,12.0,44.8,47.1,22.8,7.5,21.8,23.6,13.8,1.1,0.7,44.5,32.1,65.9,22.5,29.4
1379088,P. Soler Suarez,VEGA LAGUNERA TOYOTA  ADAREVA TENERIFE,C,Stretch Big,36.8,12.5,44.8,47.1,22.8,7.5,21.8,23.6,13.8,1.1,0.7,33.3,50.0,87.5,22.5,29.4
1434977,C. Grande Pardo,AZULMARINO MALLORCA PALMA,PG,Offensive Engine,20.8,4.0,38.7,47.4,22.3,5.8,47.4,11.6,33.1,4.1,0.9,37.7,33.3,85.7,11.8,30.6
1454479,A. Senosiain Vergarachea,MELILLA CIUDAD DEL DEPORTE LA SALLE,PG,Offensive Engine,26.0,6.7,45.4,48.8,24.4,0.9,37.6,17.2,21.2,1.8,0.1,50.0,26.9,89.7,10.8,66.3
1460562,C. Perez Relancio,FUSTECMA NBF CASTELLÓ,C,Lead Guard,16.7,5.4,41.9,44.5,20.0,12.4,36.8,22.6,12.0,3.7,1.9,36.0,26.5,71.0,21.6,26.9
1494221,L. Soler Madariaga,FUSTECMA NBF CASTELLÓ,C,3&D Wing,13.1,3.4,42.1,46.1,17.9,8.8,27.7,13.8,11.2,1.3,1.2,45.8,26.7,60.0,21.0,46.9
1494221,L. Soler Madariaga,MCR LIMA-HORTA BARCELONA,C,3&D Wing,20.6,3.8,42.1,46.1,17.9,8.8,27.7,13.8,11.2,1.3,1.2,37.5,25.8,63.6,21.0,46.9
1508657,V. Saez Moreno,LA CORDÁ DE PATERNA NB,SG,Offensive Engine,15.6,3.3,25.9,32.6,18.4,1.8,45.7,15.2,17.5,2.2,0.0,7.7,30.8,71.4,5.2,66.6
