PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1074107,A. Vilaro Aragones,PERFUMERIAS AVENIDA,SG,Offensive Engine,23.3,4.6,40.1,45.6,25.0,1.7,33.1,12.3,14.5,1.9,0.0,43.5,28.4,90.3,17.5,66.5
1091338,Q. Casas Carreras,VALENCIA B.C.,SG,Offensive Engine,15.1,3.9,31.2,35.6,12.3,2.8,35.1,18.9,12.7,3.2,0.2,37.2,14.9,60.4,14.0,33.0
1119511,M. Espin De Sancho,INNOVA-TSN LEGANES,SF,3&D Wing,13.7,3.3,43.6,44.7,12.5,2.1,13.8,12.9,9.4,1.8,0.0,43.3,36.1,61.5,11.2,66.1
1298762,A. Lopez Rodriguez,SPAR GIRONA,SG,Offensive Engine,14.3,3.9,43.3,44.1,20.2,2.3,15.3,18.1,20.5,2.4,0.0,55.6,22.6,47.1,11.3,44.4
1310004,L. Quevedo Cañizares,SPAR GIRONA,SF,3&D Wing,22.7,6.3,44.0,50.6,19.1,6.2,49.9,16.1,10.8,2.2,0.0,37.8,32.5,76.9,12.2,64.3
1320072,P. Estebas Armas,SPAR GRAN CANARIA,PG,Offensive Engine,29.8,7.6,35.9,37.7,21.2,1.8,10.9,18.3,27.7,1.9,0.1,39.2,25.0,75.0,10.0,55.0
1371309,Y. Diaz Castellano,CADI LA SEU,PG,3&D Wing,9.1,2.2,40.6,41.0,8.4,0.0,14.0,18.1,14.1,1.0,3.3,0.0,40.0,50.0,11.0,59.4
1375056,L. Romero Gonzalez,VALENCIA B.C.,PG,Offensive Engine,20.5,8.6,52.6,55.0,15.0,4.1,20.9,21.5,39.2,2.5,0.2,47.4,37.0,78.1,11.8,37.8
1385801,L. Gil Collado,HOZONO GLOBAL JAIRIS,C,Traditional Center,22.1,9.2,50.1,61.1,13.5,9.9,81.7,19.6,12.2,2.8,1.9,52.1,0.0,83.8,20.3,2.1
1389607,R. Aguilar Motta,CADI LA SEU,PG,Offensive Engine,26.8,9.0,38.2,44.8,14.3,2.2,37.7,21.1,21.6,2.1,0.0,33.1,29.8,77.5,8.5,41.9
1406582,M. Canella Rodriguez,SPAR GIRONA,PG,Lead Guard,16.6,4.2,48.4,52.4,30.0,6.6,26.5,15.5,33.5,5.0,1.5,63.0,17.4,77.8,20.9,31.2
1441977,C. Ouviña Modrego,VALENCIA B.C.,PG,Offensive Engine,10.4,1.8,27.6,29.7,22.8,3.1,10.9,13.5,30.9,3.4,1.9,23.5,31.2,100.0,13.8,41.9
1446879,I. Latorre Alcantara,MOVISTAR ESTUDIANTES,PG,Offensive Engine,18.2,3.2,38.5,47.3,26.9,1.7,33.3,12.4,25.2,3.4,0.2,32.4,35.3,64.3,12.7,43.8
1458903,A. Salvadores Alvarez,LOINTEK GERNIKA BIZKAIA,SG,Offensive Engine,29.4,10.7,37.7,41.9,16.8,1.1,24.4,23.0,22.3,2.0,0.0,39.1,28.6,76.7,10.1,36.2
1459397,I. Lahuerta Mendoza,INNOVA-TSN LEGANES,PG,Offensive Engine,27.6,6.4,41.8,45.6,20.4,4.4,24.4,15.2,22.1,2.5,0.7,40.6,30.1,73.2,9.4,51.5
1463681,C. Soriano Cuesta,INNOVA-TSN LEGANES,C,3&D Wing,6.1,1.7,42.6,41.7,12.5,6.1,18.1,15.4,4.4,0.4,1.5,59.1,25.0,37.5,10.7,22.1
1481483,M. Perez Araujo,VALENCIA B.C.,PF,3&D Wing,21.1,5.7,39.4,43.9,12.6,6.4,25.9,16.6,16.4,1.9,2.0,31.3,32.6,75.7,20.6,50.9
1538521,B. Millan Modia,BAXI FERROL,SG,Offensive Engine,27.0,9.2,42.7,48.2,14.8,4.8,47.8,20.6,17.8,2.5,0.3,43.5,25.7,77.8,12.6,56.3
