PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1049503,F. Serra De Munter,SA REAL INSTALACIONES AREVALO IBIZA,SG,3&D Wing,7.8,2.2,46.1,50.2,10.6,2.7,30.6,14.6,0.0,3.2,0.0,42.9,40.0,50.0,5.5,47.1
1051598,X. Guia Hormigon,SANDÁ C.B. L´HOSPITALET,PG,Offensive Engine,15.6,1.0,20.1,23.2,41.0,1.6,21.2,9.6,39.9,2.0,0.0,50.0,10.0,55.6,13.1,54.2
1065612,E. Mañes Carretero,TIBU-RON CASTELLDEFELS,PF,Stretch Big,29.9,15.9,41.1,50.4,12.7,5.2,68.0,25.8,21.9,1.2,0.3,45.1,28.6,70.7,26.0,41.6
1068988,M. Mañes Carretero,TIBU-RON CASTELLDEFELS,,3&D Wing,24.9,12.9,43.6,49.3,10.9,4.5,35.8,25.1,13.4,1.2,0.4,46.4,28.0,84.5,17.5,50.7
1072122,R. Diaz Sanchez,C.B.ROSER,SF,3&D Wing,17.0,3.6,36.8,41.7,11.3,4.2,25.7,12.8,5.9,1.8,0.0,33.3,28.3,76.5,13.1,62.1
1073361,H. Olaguibe Gonzalez,CB BOET MATARÓ,C,3&D Wing,21.2,6.0,53.1,54.6,24.1,6.4,37.7,16.1,11.9,1.1,0.3,54.4,22.2,52.6,14.7,7.6
1081241,E. Tejero Casasayas,MONBUS - CB IGUALADA,SF,3&D Wing,25.5,12.1,50.7,53.5,10.8,6.5,36.3,22.0,8.2,2.4,0.4,50.5,35.3,61.4,20.7,51.2
1083484,J. Serra Castillo,IMMO SA MARINA CIUTAT D’INCA BASQUET,SG,3&D Wing,20.4,10.5,53.4,56.6,10.6,6.7,26.7,21.4,4.7,2.8,0.8,57.1,32.8,76.7,8.3,57.2
1120000,D. Busto Verano,SA REAL INSTALACIONES AREVALO IBIZA,SF,3&D Wing,18.3,6.3,44.6,42.8,9.2,2.1,26.0,23.5,10.1,0.9,0.0,66.7,14.3,25.0,15.9,60.2
1144597,S. Martinez Fernandez,RESTAURANTE LOS ARCOS CB SOLARES,C,Traditional Center,25.1,9.2,39.7,43.0,17.3,10.9,57.6,20.1,12.1,2.0,4.6,40.6,22.2,55.9,14.7,3.3
1196165,R. Riu Garcia,PUJOL MOLLERUSSA,,3&D Wing,13.0,3.2,37.8,45.1,14.8,8.1,37.1,13.6,7.0,2.5,0.6,41.5,28.3,75.0,19.2,52.0
1232367,A. Eguskitza Aginalde,ULACIA ZKE,C,Traditional Center,12.1,3.8,52.2,55.9,29.8,7.7,38.5,17.2,12.0,0.9,0.0,52.8,0.0,55.6,8.8,0.9
1234941,A. Castillo Edio,SA REAL INSTALACIONES AREVALO IBIZA,SG,Lead Guard,30.9,10.2,47.8,51.4,17.4,5.8,24.9,18.5,22.4,3.6,0.3,46.5,30.1,76.8,14.2,46.0
1246173,A. Quiros Lopez,C.B.ROSER,C,Stretch Big,15.8,3.2,44.9,49.5,20.3,9.4,86.5,12.3,9.4,0.9,1.5,43.5,33.3,61.8,16.4,4.3
1246691,H. Morro Balera,IMMO SA MARINA CIUTAT D’INCA BASQUET,,Rolling Big,6.0,0.9,34.1,27.8,18.9,2.3,43.5,14.3,7.8,0.0,0.0,0.0,22.2,25.0,7.5,67.8
1246715,C. Poyatos Parra,IMMO SA MARINA CIUTAT D’INCA BASQUET,C,Traditional Center,24.7,13.8,52.4,54.0,13.6,13.1,52.7,23.8,8.9,1.9,2.8,56.1,13.6,54.5,21.3,7.8
1246724,J. Medori Morales,SA REAL INSTALACIONES AREVALO IBIZA,SF,Stretch Big,33.4,17.0,54.6,57.5,14.6,9.6,36.3,24.1,17.8,2.2,0.8,56.4,35.9,66.7,23.7,48.8
1258079,A. Savitski Savitskaia,MEGACALZADO ARDOI,,Lead Guard,21.8,11.3,46.7,46.0,14.2,6.1,41.6,29.1,22.7,3.3,0.9,48.8,26.1,41.8,22.5,25.0
1263340,A. Mendez Carrion,VÍTALY LA MAR BCBADAJOZ,PG,Offensive Engine,27.4,3.7,19.5,25.2,23.3,5.3,20.1,15.9,12.6,3.2,0.0,12.5,20.0,80.0,14.7,25.4
1277575,C. Fons Teixido,MONBUS - CB IGUALADA,SG,3&D Wing,23.3,10.5,49.9,53.2,11.1,3.9,31.2,21.7,12.5,2.3,0.4,41.9,35.9,67.2,9.5,58.7
1314145,E. Andres Campos,ULACIA ZKE,PG,Offensive Engine,21.4,6.2,39.9,48.1,26.1,1.7,46.9,18.1,16.5,2.1,0.2,35.3,31.9,79.5,6.9,57.2
1321562,A. Reyes Abad,DE MORRO FINO CANTBASKET04,PF,3&D Wing,28.7,9.4,42.0,45.0,14.4,8.8,22.8,17.7,11.3,2.2,2.1,44.8,26.5,64.4,16.3,58.8
1322110,F. Rodriguez Herron,GRUPO INMAPA FILIPENSES,C,Traditional Center,8.0,5.0,68.1,61.7,11.2,4.4,45.0,26.5,9.7,2.0,0.0,63.6,0.0,25.0,28.6,0.0
1323166,I. Salazar Ortega,TEKNEI BIZKAIA ZORNOTZA,C,Stretch Big,24.6,8.7,58.0,62.5,24.1,14.3,69.4,16.8,28.6,2.8,2.5,59.7,30.0,70.4,34.0,7.5
1350769,A. Vicens Morey,SANDÁ C.B. L´HOSPITALET,SG,High Volume Scorer,16.6,11.5,72.5,73.5,23.3,3.7,30.8,29.6,22.4,0.0,0.0,77.8,40.0,75.0,10.3,34.7
1352695,B. Mendia Sangroniz,TEKNEI BIZKAIA ZORNOTZA,SF,Stretch Big,19.5,12.8,56.3,62.3,13.3,5.3,74.8,27.7,10.5,1.9,0.8,65.2,30.4,73.4,16.6,50.0
1353377,P. Albisu Astigarraga,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,PG,Offensive Engine,23.9,4.5,24.9,28.8,30.2,3.3,34.6,18.7,26.8,3.2,0.1,36.4,13.5,60.0,9.7,61.0
1393813,X. Assalit García,C.B.ROSER,PG,Lead Guard,16.0,4.9,35.6,44.6,24.8,5.1,85.1,19.0,23.7,4.2,1.7,45.9,16.7,64.1,9.8,25.7
1399059,M. Duch Cabezas,PUJOL MOLLERUSSA,SF,3&D Wing,15.9,6.5,55.2,56.3,10.2,2.9,12.5,17.9,12.3,2.7,0.2,38.5,37.3,57.9,8.8,91.4
1402479,M. Manyoses Roca,SA REAL INSTALACIONES AREVALO IBIZA,PF,Rolling Big,6.5,1.0,27.9,28.8,11.8,5.6,29.0,12.8,3.2,1.4,0.7,33.3,0.0,50.0,9.2,6.6
1403132,O. Besora Tomas,CB VALLS TALLERS PABLO MARTÍNEZ,SG,Offensive Engine,27.7,12.6,45.9,48.2,16.5,1.9,17.1,24.8,23.1,2.5,0.6,53.6,29.6,78.7,5.2,74.2
1403783,A. Montalbán Pérez,FLANIGAN CALVIÀ,,Offensive Engine,15.1,4.1,50.5,52.5,13.0,2.4,67.8,14.2,13.6,2.1,0.0,25.0,32.3,67.5,5.7,75.6
1451091,P. Molina Mata,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,SF,3&D Wing,18.7,4.5,42.8,42.4,11.3,3.8,13.4,14.7,8.5,1.4,0.4,35.3,29.1,38.5,10.5,71.6
1452974,R. Gonzalez Ruiz,GRUPO INMAPA FILIPENSES,SG,3&D Wing,12.9,2.8,26.3,27.0,11.6,2.3,5.0,14.8,7.3,1.7,0.0,46.7,20.5,50.0,9.8,72.9
1452981,L. Blanco De La Cruz,GRUPO INMAPA FILIPENSES,PG,Rolling Big,13.8,0.9,24.8,27.0,39.4,5.6,30.0,9.3,11.8,2.7,0.5,31.2,0.0,37.5,1.0,30.4
1483199,D. Tugores Soto,TIBU-RON CASTELLDEFELS,SG,Lead Guard,25.0,7.4,54.5,58.7,26.4,6.3,53.6,14.9,22.1,3.7,0.2,65.4,30.0,61.5,14.5,31.9
1487941,M. Aliaga Checa,MONBUS - CB IGUALADA,PG,Lead Guard,19.8,7.2,41.6,45.9,19.7,9.9,57.4,21.3,21.7,3.5,0.3,50.4,0.0,58.7,11.3,13.6
1489820,J. Serra Anglès,CB BOET MATARÓ,SG,Offensive Engine,23.0,7.5,42.9,45.6,17.9,2.5,20.8,19.8,13.7,3.7,0.2,43.8,27.3,72.2,9.0,46.1
1504969,V. Santamatilde Peris,VELABASKET CB SUECA,C,Rolling Big,11.3,0.0,0.0,0.0,0.0,0.0,0.0,8.5,15.6,0.0,0.0,0.0,0.0,0.0,22.3,50.7
1516732,L. Sanchez Moreno,IMMO SA MARINA CIUTAT D’INCA BASQUET,SG,Lead Guard,25.3,9.7,40.9,44.6,11.8,4.7,17.5,19.5,12.7,4.1,0.7,48.4,24.8,87.8,10.5,64.6
1521307,L. Martinez Yranzo,SA REAL INSTALACIONES AREVALO IBIZA,,Offensive Engine,24.1,8.0,40.8,44.1,14.9,3.3,61.2,20.3,22.3,1.3,0.0,40.6,25.8,55.2,10.7,35.1
1536510,C. Polanco Merino,GRUPO INMAPA FILIPENSES,SF,3&D Wing,17.3,5.2,40.6,41.0,16.0,3.2,31.0,15.8,7.8,1.7,0.0,44.4,32.7,48.1,5.1,52.0
