PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,POSITION,POS_ORDER,ROLE_NAME,DORSAL,PHOTO_URL,GP,GS,MIN_PG,PTS_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,BLKA_PG,TOV_PG,PF_PG,PFD_PG,PLUS_MINUS_PG,PIR_PG,FGM_2_PG,FGA_2_PG,FG2_PCT,FGM_3_PG,FGA_3_PG,FG3_PCT,FTM_PG,FTA_PG,FT_PCT,TS_PCT,EFG_PCT,3PAr,FTr,TOV_PCT,GMSC_PG,ROLE_EFG_PCT,ROLE_TS_PCT,ROLE_TOV_PCT,ROLE_ORB_PCT,ROLE_FTr,ROLE_USG_PCT,PTS,TRB,AST,STL,BLK,TOV,PIR,FGM_2,FGA_2,FGM_3,FGA_3,FTM,FTA,MIN_TOTAL,MIN_SECS_TOTAL
2063626,B. Pañart Postigo,981130,ALFINDÉN CB,PG,1,Offensive Engine,,https://imagenes.feb.es/Foto.aspx?c=2063626,26,12,19.5,5.5,0.7,1.5,2.2,1.5,0.4,0.0,0.0,2.1,2.2,1.2,-9.4,2.5,1.7,3.6,46.8,0.5,2.1,22.2,0.7,1.3,57.6,44.0,41.9,36.5,22.3,24.9,1.6,44.2,46.4,23.7,3.9,25.7,19.0,143.0,57.0,39.0,11.0,0.0,54.0,64.0,44.0,94.0,12.0,54.0,19.0,33.0,506.2,30370.0
1777440,A. Vicente Alonso,981130,ALFINDÉN CB,SG,2,High Volume Scorer,,https://imagenes.feb.es/Foto.aspx?c=1777440,22,18,28.0,14.9,0.6,2.5,3.1,1.9,0.7,0.0,0.6,2.8,1.7,5.2,-8.9,13.0,2.3,4.9,46.7,1.9,6.8,27.5,4.7,5.5,86.7,52.9,43.6,58.2,46.9,16.5,7.8,44.2,53.2,17.2,2.2,49.4,26.4,327.0,68.0,41.0,16.0,0.0,61.0,286.0,50.0,107.0,41.0,149.0,104.0,120.0,616.6,37002.0
2252180,M. Smith,981130,ALFINDÉN CB,SG,2,3&D Wing,,https://imagenes.feb.es/Foto.aspx?c=2252180,25,21,31.0,11.9,0.6,3.3,4.0,1.7,0.9,0.2,0.2,1.9,2.0,2.8,-10.1,11.6,2.6,5.7,45.5,1.4,3.6,37.4,2.6,3.2,82.5,55.3,49.6,38.9,34.2,15.1,7.7,51.5,56.8,15.3,2.2,40.6,18.2,298.0,99.0,42.0,23.0,4.0,48.0,290.0,65.0,143.0,34.0,91.0,66.0,80.0,775.0,46496.0
1863375,A. Nuñez Navarro,981130,ALFINDÉN CB,SG,2,Offensive Engine,,https://imagenes.feb.es/Foto.aspx?c=1863375,22,5,17.8,4.7,0.9,2.5,3.4,1.9,1.0,0.1,0.1,1.9,2.0,1.9,-3.8,4.3,1.8,4.8,37.7,0.1,0.8,17.6,0.6,1.8,35.9,36.7,36.2,13.8,31.7,23.1,2.2,32.5,33.8,24.3,5.3,35.5,20.9,103.0,74.0,42.0,21.0,3.0,42.0,94.0,40.0,106.0,3.0,17.0,14.0,39.0,390.8,23462.0
1622657,D. Cortes Alejandre,981130,ALFINDÉN CB,SG,2,Offensive Engine,,https://imagenes.feb.es/Foto.aspx?c=1622657,7,1,12.3,3.0,0.3,0.7,1.0,0.6,1.0,0.0,0.1,1.6,2.0,1.4,-6.4,-1.9,0.7,1.9,38.5,0.3,3.4,8.3,0.7,1.7,41.7,24.8,21.6,64.9,32.4,20.6,-1.3,19.8,23.7,20.0,2.9,40.8,25.5,21.0,7.0,4.0,7.0,0.0,11.0,-13.0,5.0,13.0,2.0,24.0,5.0,12.0,86.2,5178.0
1978540,J. Martinez Sanchez,981130,ALFINDÉN CB,SG,2,3&D Wing,,https://imagenes.feb.es/Foto.aspx?c=1978540,25,16,17.5,2.2,0.4,1.4,1.8,1.0,0.7,0.0,0.0,0.6,2.0,1.0,-6.6,1.8,0.5,0.8,60.0,0.3,2.1,15.1,0.2,0.3,85.7,35.5,32.9,72.6,9.6,17.4,1.1,28.5,32.8,18.1,2.3,22.2,9.5,54.0,44.0,26.0,17.0,1.0,16.0,45.0,12.0,20.0,8.0,53.0,6.0,7.0,436.4,26197.0
2124770,J. Royo Santos,981130,ALFINDÉN CB,SF,3,Rolling Big,,https://imagenes.feb.es/Foto.aspx?c=2124770,13,1,7.0,0.8,0.1,0.9,1.0,0.3,0.2,0.0,0.0,0.6,0.2,0.2,-3.5,0.8,0.3,0.7,44.4,0.1,0.7,11.1,0.0,0.0,0.0,30.6,30.6,50.0,0.0,30.8,0.1,19.9,19.9,23.1,1.1,0.0,13.2,11.0,13.0,4.0,3.0,0.0,8.0,10.0,4.0,9.0,1.0,9.0,0.0,0.0,90.5,5424.0
2754695,W. Tavares De Brito,981130,ALFINDÉN CB,C,5,Traditional Center,,https://imagenes.feb.es/Foto.aspx?c=2754695,26,24,25.1,9.9,2.6,6.3,8.9,0.9,0.6,1.4,0.1,2.8,2.7,2.8,-7.1,13.4,4.0,7.9,50.7,0.1,0.3,37.5,1.6,3.2,50.0,51.8,50.9,3.8,38.5,22.7,7.2,51.5,52.2,21.5,11.1,41.7,22.1,258.0,231.0,23.0,15.0,36.0,73.0,348.0,104.0,205.0,3.0,8.0,41.0,82.0,651.5,39081.0
2374402,F. Villalba Kramarov,981130,ALFINDÉN CB,C,5,Rolling Big,,https://imagenes.feb.es/Foto.aspx?c=2374402,2,1,24.9,4.0,1.0,5.0,6.0,3.0,0.0,0.0,0.5,2.0,2.5,4.5,-7.5,8.5,1.5,3.5,42.9,0.0,0.5,0.0,1.0,3.0,33.3,37.6,37.5,12.5,75.0,27.3,2.3,40.2,42.2,31.2,4.1,58.7,13.2,8.0,12.0,6.0,0.0,0.0,4.0,17.0,3.0,7.0,0.0,1.0,2.0,6.0,49.8,2987.0
2004637,G. Pardos Martinez,981130,ALFINDÉN CB,C,5,Rolling Big,,https://imagenes.feb.es/Foto.aspx?c=2004637,25,6,11.7,1.4,1.2,1.7,2.9,0.2,0.1,0.4,0.2,0.8,1.8,0.7,-5.1,1.6,0.5,1.7,31.0,0.0,0.2,0.0,0.3,0.6,57.1,32.6,28.3,8.7,30.4,26.7,0.6,25.8,29.2,24.5,11.1,18.2,10.8,34.0,72.0,4.0,3.0,11.0,19.0,40.0,13.0,42.0,0.0,4.0,8.0,14.0,292.4,17550.0
