MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2513095,PRIMERA FASE A,981968,JOVENTUT BADALONA A,AWAY,93.3,81.6,79.3,66.4,12.9,39.6,35.2,16.2,37.5,82.9,58.4,1.0,34.6,225,13500.0,74.0,21.0,40.0,5.0,41.0,26.0,81.0,17.0,28.0,18.0,34.0,52.0,18.0,18.0,19.0,5.0,2.0,18.0,23.0,89.0,70.0
2513095,PRIMERA FASE A,992480,MEFIEX SAGRADO CÁCERES,HOME,90.4,81.6,66.4,79.3,-12.9,42.6,36.3,27.7,17.1,62.5,41.6,0.5,30.6,225,13500.0,60.0,18.0,38.0,3.0,24.0,21.0,62.0,15.0,19.0,7.0,30.0,37.0,14.0,27.0,8.0,2.0,5.0,23.0,18.0,44.0,-70.0
2513096,PRIMERA FASE A,986684,"BASKONIA ""A""",HOME,95.7,94.2,58.5,123.9,-65.4,33.8,31.2,23.2,22.2,51.4,34.1,0.5,16.9,200,12000.0,56.0,12.0,44.0,8.0,33.0,20.0,77.0,8.0,13.0,12.0,19.0,31.0,12.0,25.0,5.0,1.0,2.0,12.0,14.0,20.0,-295.0
2513096,PRIMERA FASE A,987072,REAL MADRID ´A´,AWAY,92.8,94.3,123.9,58.5,65.4,60.0,59.9,13.5,48.6,77.8,65.9,2.9,12.1,200,12000.0,115.0,44.0,66.0,7.0,25.0,51.0,91.0,6.0,11.0,18.0,42.0,60.0,43.0,15.0,19.0,2.0,1.0,14.0,12.0,177.0,295.0
2513113,PRIMERA FASE D,987267,"MOVISTAR ESTUDIANTES ""A""",AWAY,83.7,82.9,123.1,68.3,54.8,64.6,64.3,18.4,48.3,77.8,66.2,1.1,31.4,200,12000.0,103.0,39.0,56.0,4.0,14.0,43.0,70.0,13.0,22.0,14.0,35.0,49.0,20.0,18.0,12.0,4.0,1.0,17.0,17.0,134.0,235.0
2513113,PRIMERA FASE D,991647,SPB PREVENNOVA,HOME,82.0,82.9,68.3,123.1,-54.8,38.3,33.3,20.6,22.2,51.7,33.8,0.2,24.2,200,12000.0,56.0,16.0,43.0,4.0,23.0,20.0,66.0,12.0,16.0,10.0,15.0,25.0,4.0,19.0,8.0,1.0,4.0,17.0,17.0,25.0,-235.0
2513114,PRIMERA FASE D,1000014,INSOLAC CB ALCALÁ CAJA87 2010,HOME,89.3,90.3,69.4,118.1,-48.7,37.2,34.0,13.5,14.9,65.7,36.6,0.4,15.4,200,12000.0,62.0,16.0,40.0,7.0,38.0,23.0,78.0,9.0,12.0,7.0,23.0,30.0,5.0,13.0,4.0,1.0,4.0,12.0,15.0,34.0,-230.0
2513114,PRIMERA FASE D,997153,VALENCIA BASKET,AWAY,91.5,90.3,118.1,69.4,48.7,59.7,56.6,12.6,34.3,85.1,63.4,1.9,20.5,200,12000.0,108.0,35.0,53.0,8.0,30.0,43.0,83.0,14.0,17.0,12.0,40.0,52.0,25.0,13.0,7.0,4.0,1.0,15.0,12.0,137.0,230.0
2513119,PRIMERA FASE E,997158,CBI ELCHE X AITYSA INGENIERIA,HOME,89.2,89.9,95.3,72.9,22.4,50.5,49.3,17.6,32.5,74.4,54.2,1.3,42.3,200,12000.0,85.0,26.0,49.0,6.0,22.0,32.0,71.0,15.0,30.0,13.0,32.0,45.0,23.0,18.0,16.0,3.0,2.0,16.0,21.0,105.0,95.0
2513119,PRIMERA FASE E,984034,FUNDACION BILBAO BASKET FUNDAZIOA,AWAY,90.6,89.9,72.9,95.3,-22.4,43.1,41.7,24.6,25.6,67.5,45.8,0.7,36.4,200,12000.0,66.0,17.0,37.0,7.0,29.0,24.0,66.0,11.0,24.0,11.0,27.0,38.0,18.0,25.0,11.0,2.0,3.0,21.0,16.0,50.0,-95.0
2513125,PRIMERA FASE F,986092,ALIMERKA OVIEDO BALONCESTO,AWAY,90.5,88.3,91.7,87.2,4.5,41.3,41.3,13.0,43.1,65.7,51.6,0.9,38.4,200,12000.0,83.0,19.0,48.0,11.0,38.0,30.0,86.0,12.0,33.0,25.0,23.0,48.0,13.0,15.0,17.0,0.0,1.0,20.0,27.0,76.0,40.0
2513125,PRIMERA FASE F,984795,EBA,HOME,86.0,88.3,87.2,91.7,-4.5,50.0,46.9,23.5,34.3,56.9,48.4,0.3,39.1,200,12000.0,75.0,27.0,51.0,2.0,13.0,29.0,64.0,15.0,25.0,12.0,33.0,45.0,6.0,23.0,6.0,1.0,0.0,27.0,20.0,58.0,-40.0
2513131,PRIMERA FASE G,987569,CYD-LEONESA - COL. LEONÉS A,AWAY,93.2,93.8,98.7,62.5,36.2,52.7,48.5,18.6,33.3,90.0,64.1,1.2,68.7,200,12000.0,92.0,25.0,49.0,5.0,18.0,30.0,67.0,27.0,46.0,14.0,45.0,59.0,24.0,20.0,15.0,3.0,0.0,30.0,33.0,120.0,165.0
2513131,PRIMERA FASE G,999068,LA SALLE,HOME,94.4,93.8,62.5,98.7,-36.2,37.2,33.3,20.1,10.0,66.7,35.9,0.4,73.3,200,12000.0,59.0,14.0,44.0,4.0,16.0,18.0,60.0,19.0,44.0,5.0,28.0,33.0,8.0,20.0,13.0,0.0,3.0,33.0,30.0,23.0,-165.0
2513132,PRIMERA FASE G,989012,GAZTE BERRIAK,HOME,86.4,84.6,82.2,105.1,-22.9,47.1,44.0,19.3,18.4,65.2,44.0,0.4,28.4,200,12000.0,71.0,19.0,49.0,7.0,18.0,26.0,67.0,12.0,19.0,7.0,30.0,37.0,8.0,18.0,6.0,4.0,1.0,16.0,18.0,62.0,-80.0
2513132,PRIMERA FASE G,1004507,TLSI GODELLA,AWAY,82.8,84.6,105.1,82.2,22.9,49.0,46.9,10.1,34.8,81.6,56.0,1.6,25.0,200,12000.0,87.0,27.0,50.0,7.0,30.0,34.0,80.0,12.0,20.0,16.0,31.0,47.0,16.0,10.0,7.0,1.0,4.0,18.0,16.0,92.0,80.0
