MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2512654,Cuartos de Final,981356,BOSONIT UNIBASKET,HOME,70.2,70.4,71.2,85.1,-13.9,34.6,30.2,14.2,33.3,66.7,46.4,1.2,33.3,200,12000.0,50.0,10.0,38.0,6.0,25.0,16.0,63.0,12.0,21.0,14.0,18.0,32.0,14.0,12.0,11.0,3.0,0.0,17.0,20.0,45.0,-50.0
2512654,Cuartos de Final,981492,CELTA  FEMXA ZORKA,AWAY,70.5,70.3,85.1,71.2,13.9,49.6,44.3,23.9,33.3,66.7,53.6,0.6,32.1,200,12000.0,60.0,16.0,37.0,5.0,16.0,21.0,53.0,13.0,17.0,9.0,28.0,37.0,11.0,19.0,6.0,0.0,3.0,20.0,17.0,56.0,50.0
2512655,Cuartos de Final,981356,BOSONIT UNIBASKET,AWAY,69.7,71.2,58.8,93.7,-34.9,29.4,27.3,13.6,22.9,61.3,38.0,0.8,20.3,200,12000.0,41.0,7.0,31.0,7.0,33.0,14.0,64.0,6.0,13.0,11.0,19.0,30.0,9.0,11.0,6.0,1.0,1.0,17.0,15.0,17.0,-135.0
2512655,Cuartos de Final,981492,CELTA  FEMXA ZORKA,HOME,72.6,71.2,93.7,58.8,34.9,47.5,46.2,15.4,38.7,77.1,62.0,1.3,23.1,200,12000.0,68.0,27.0,47.0,2.0,18.0,29.0,65.0,8.0,15.0,12.0,37.0,49.0,17.0,13.0,8.0,1.0,1.0,15.0,17.0,89.0,135.0
2512656,Cuartos de Final,981206,MCR LIMA-HORTA BARCELONA,HOME,73.8,75.3,86.7,76.9,9.8,42.8,39.3,12.8,28.6,74.4,50.6,1.5,15.7,200,12000.0,64.0,20.0,44.0,5.0,26.0,25.0,70.0,9.0,11.0,12.0,29.0,41.0,17.0,11.0,8.0,1.0,4.0,16.0,16.0,73.0,25.0
2512656,Cuartos de Final,981334,UNICAJA MIJAS,AWAY,76.7,75.3,76.9,86.7,-9.8,41.7,39.2,18.5,25.6,71.4,49.4,0.9,20.0,200,12000.0,59.0,12.0,35.0,9.0,30.0,21.0,65.0,8.0,13.0,10.0,30.0,40.0,15.0,16.0,7.0,4.0,1.0,16.0,16.0,60.0,-25.0
2512657,Cuartos de Final,981206,MCR LIMA-HORTA BARCELONA,AWAY,70.4,72.0,65.4,103.1,-37.7,35.7,30.4,19.9,27.0,61.3,42.6,0.6,33.9,200,12000.0,46.0,11.0,35.0,4.0,21.0,15.0,56.0,12.0,19.0,10.0,19.0,29.0,9.0,16.0,8.0,4.0,3.0,15.0,20.0,37.0,-150.0
2512657,Cuartos de Final,981334,UNICAJA MIJAS,HOME,73.7,72.0,103.1,65.4,37.7,51.5,47.8,14.0,38.7,73.0,57.4,1.6,19.1,200,12000.0,76.0,25.0,46.0,5.0,22.0,30.0,68.0,11.0,13.0,12.0,27.0,39.0,19.0,12.0,9.0,3.0,4.0,20.0,15.0,89.0,150.0
2512658,Cuartos de Final,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,HOME,71.7,72.5,78.1,99.3,-21.2,42.0,39.5,13.0,14.7,73.3,42.2,0.6,38.6,200,12000.0,56.0,12.0,31.0,7.0,26.0,19.0,57.0,11.0,22.0,5.0,22.0,27.0,6.0,10.0,5.0,0.0,0.0,16.0,17.0,36.0,-85.0
2512658,Cuartos de Final,979971,OSES CONSTRUCCION,AWAY,73.5,72.6,99.3,78.1,21.2,52.5,48.4,14.7,26.7,85.3,57.8,0.7,27.4,200,12000.0,73.0,21.0,46.0,6.0,16.0,27.0,62.0,13.0,17.0,8.0,29.0,37.0,8.0,12.0,6.0,0.0,0.0,17.0,16.0,72.0,85.0
2512659,Cuartos de Final,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,AWAY,68.6,69.5,97.6,82.4,15.2,50.3,47.7,19.4,41.2,87.5,63.6,0.6,9.4,200,12000.0,67.0,26.0,42.0,3.0,22.0,29.0,64.0,6.0,6.0,14.0,28.0,42.0,9.0,16.0,5.0,1.0,0.0,13.0,13.0,73.0,45.0
2512659,Cuartos de Final,979971,OSES CONSTRUCCION,HOME,70.4,69.5,82.4,97.6,-15.2,45.7,42.4,14.8,12.5,58.8,36.4,0.9,16.9,200,12000.0,58.0,19.0,41.0,4.0,18.0,23.0,59.0,8.0,10.0,4.0,20.0,24.0,10.0,11.0,5.0,0.0,1.0,13.0,13.0,48.0,-45.0
2512660,Cuartos de Final,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,AWAY,68.2,69.4,74.7,76.4,-1.7,37.9,33.6,12.9,23.7,75.6,50.6,0.7,36.2,200,12000.0,51.0,12.0,39.0,5.0,19.0,17.0,58.0,12.0,21.0,9.0,31.0,40.0,7.0,10.0,6.0,1.0,0.0,13.0,20.0,52.0,-15.0
2512660,Cuartos de Final,979919,RECOLETAS ZAMORA,HOME,70.6,69.4,76.4,74.7,1.7,39.3,37.9,14.9,24.4,76.3,49.4,1.0,9.1,200,12000.0,54.0,16.0,39.0,6.0,27.0,22.0,66.0,4.0,6.0,10.0,29.0,39.0,12.0,12.0,4.0,0.0,1.0,20.0,13.0,44.0,15.0
2512661,Cuartos de Final,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,HOME,74.9,74.1,101.4,86.0,15.4,54.3,51.6,15.7,24.2,73.9,53.2,1.2,29.0,200,12000.0,76.0,14.0,36.0,12.0,26.0,26.0,62.0,12.0,18.0,8.0,34.0,42.0,16.0,13.0,6.0,3.0,0.0,21.0,21.0,88.0,65.0
2512661,Cuartos de Final,979919,RECOLETAS ZAMORA,AWAY,73.2,74.1,86.0,101.4,-15.4,42.4,36.2,12.9,26.1,75.8,46.8,1.1,32.3,200,12000.0,63.0,10.0,32.0,9.0,33.0,19.0,65.0,16.0,21.0,12.0,25.0,37.0,12.0,11.0,8.0,0.0,3.0,21.0,21.0,58.0,-65.0
2513298,Semifinal,981492,CELTA  FEMXA ZORKA,HOME,72.1,71.2,99.9,68.3,31.6,44.4,39.6,10.0,40.0,86.1,60.5,2.1,47.8,200,12000.0,72.0,19.0,50.0,5.0,17.0,24.0,67.0,19.0,32.0,18.0,31.0,49.0,19.0,9.0,7.0,1.0,2.0,19.0,26.0,90.0,120.0
2513298,Semifinal,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,AWAY,70.3,71.2,68.3,99.9,-31.6,40.5,36.1,21.3,13.9,60.0,39.5,0.6,22.2,200,12000.0,48.0,9.0,25.0,7.0,29.0,16.0,54.0,9.0,12.0,5.0,27.0,32.0,9.0,16.0,5.0,2.0,1.0,26.0,19.0,32.0,-120.0
2513299,Semifinal,979971,OSES CONSTRUCCION,AWAY,63.4,65.3,85.2,79.0,6.2,41.3,36.9,8.4,20.5,71.4,41.8,0.8,16.4,200,12000.0,54.0,18.0,39.0,3.0,22.0,21.0,61.0,9.0,10.0,8.0,20.0,28.0,5.0,6.0,10.0,1.0,2.0,14.0,15.0,52.0,5.0
2513299,Semifinal,981334,UNICAJA MIJAS,HOME,67.1,65.3,79.0,85.2,-6.2,47.3,43.4,25.3,28.6,79.5,58.2,0.6,13.2,200,12000.0,53.0,14.0,33.0,6.0,20.0,20.0,53.0,7.0,7.0,8.0,31.0,39.0,12.0,19.0,5.0,2.0,1.0,15.0,14.0,58.0,-5.0
2480105,1,981206,MCR LIMA-HORTA BARCELONA,HOME,77.7,78.7,72.1,77.7,-5.6,36.5,35.2,16.4,30.4,77.8,51.2,1.1,18.3,200,12000.0,56.0,16.0,46.0,6.0,25.0,22.0,71.0,6.0,13.0,14.0,28.0,42.0,16.0,15.0,9.0,1.0,6.0,15.0,18.0,56.0,-30.0
2480105,1,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,AWAY,79.8,78.7,77.7,72.1,5.6,45.0,43.0,21.6,22.2,69.6,48.8,0.8,17.2,200,12000.0,62.0,20.0,36.0,5.0,28.0,25.0,64.0,7.0,11.0,8.0,32.0,40.0,15.0,19.0,7.0,6.0,1.0,18.0,15.0,65.0,30.0
2480106,1,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,AWAY,73.0,72.7,102.8,91.1,11.7,56.9,54.8,16.5,20.0,85.2,50.9,1.3,14.5,200,12000.0,75.0,22.0,40.0,8.0,22.0,30.0,62.0,7.0,9.0,6.0,23.0,29.0,17.0,13.0,11.0,0.0,1.0,20.0,14.0,79.0,45.0
2480106,1,981288,SERNOVA RENOVABLES REAL CANOE,HOME,72.5,72.7,91.1,102.8,-11.7,56.4,51.0,23.5,14.8,80.0,49.1,0.8,33.3,200,12000.0,66.0,17.0,26.0,6.0,25.0,23.0,51.0,14.0,17.0,4.0,24.0,28.0,15.0,18.0,4.0,1.0,0.0,14.0,20.0,71.0,-45.0
2480107,1,979988,FUSTECMA NBF CASTELLÓ,HOME,73.0,71.1,76.8,98.1,-21.3,36.9,36.1,19.2,46.7,73.3,57.3,0.2,12.5,200,12000.0,56.0,17.0,39.0,6.0,33.0,23.0,72.0,4.0,9.0,21.0,22.0,43.0,3.0,18.0,8.0,0.0,0.0,22.0,20.0,36.0,-60.0
2480107,1,979919,RECOLETAS ZAMORA,AWAY,69.3,71.1,98.1,76.8,21.3,52.9,42.3,16.8,26.7,53.3,42.7,0.6,53.8,200,12000.0,68.0,16.0,38.0,4.0,14.0,20.0,52.0,24.0,28.0,8.0,24.0,32.0,8.0,13.0,8.0,0.0,0.0,20.0,22.0,69.0,60.0
2480108,1,981213,AZULMARINO MALLORCA PALMA,AWAY,74.0,71.7,112.2,76.3,35.9,61.0,57.9,20.0,42.3,87.2,69.2,0.6,43.9,200,12000.0,83.0,27.0,43.0,4.0,14.0,31.0,57.0,17.0,25.0,11.0,34.0,45.0,10.0,17.0,4.0,1.0,1.0,24.0,23.0,91.0,150.0
2480108,1,979971,OSES CONSTRUCCION,HOME,69.5,71.7,76.3,112.2,-35.9,39.3,35.8,9.4,12.8,57.7,30.8,1.3,28.3,200,12000.0,53.0,14.0,34.0,5.0,26.0,19.0,60.0,10.0,17.0,5.0,15.0,20.0,9.0,7.0,8.0,1.0,1.0,23.0,24.0,37.0,-150.0
2480109,1,981306,CAJASOL BALONCESTO SEVILLA FEMENINO,AWAY,81.1,80.2,75.2,104.5,-29.3,46.8,40.0,27.7,25.0,84.8,53.6,0.5,41.8,200,12000.0,61.0,10.0,28.0,8.0,27.0,18.0,55.0,17.0,23.0,9.0,28.0,37.0,12.0,25.0,4.0,1.0,1.0,23.0,19.0,43.0,-110.0
2480109,1,981492,CELTA  FEMXA ZORKA,HOME,79.4,80.3,104.5,75.2,29.3,54.3,52.3,9.5,15.2,75.0,46.4,2.0,40.0,200,12000.0,83.0,25.0,47.0,6.0,18.0,31.0,65.0,15.0,26.0,5.0,27.0,32.0,16.0,8.0,15.0,1.0,1.0,19.0,23.0,98.0,110.0
