MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2487031,1,981221,HOTEL 4POSTES - ÁVILA AUTÉNTICA - EL BULEVAR,AWAY,86.3,77.6,79.9,81.6,-1.7,42.4,38.4,18.9,29.8,61.1,46.5,0.5,40.6,225,13500.0,69.0,19.0,43.0,5.0,26.0,24.0,69.0,16.0,28.0,14.0,33.0,47.0,9.0,19.0,12.0,2.0,1.0,24.0,27.0,66.0,-15.0
2487031,1,979921,IRUKI TAKE,HOME,88.2,77.6,81.6,79.9,1.7,39.5,34.8,16.5,38.9,70.2,53.5,0.6,25.6,225,13500.0,72.0,18.0,46.0,7.0,36.0,25.0,82.0,15.0,21.0,21.0,33.0,54.0,10.0,18.0,12.0,1.0,2.0,27.0,23.0,64.0,15.0
2487032,1,982049,CAJA RURAL DE ZAMORA CBCV BOECILLO,HOME,77.0,77.0,66.3,107.6,-41.3,39.9,39.2,23.8,18.9,82.8,47.0,0.5,15.0,200,12000.0,51.0,13.0,40.0,7.0,20.0,20.0,60.0,4.0,9.0,7.0,24.0,31.0,9.0,20.0,9.0,1.0,0.0,18.0,14.0,32.0,-160.0
2487032,1,979970,MEGACALZADO ARDOI,AWAY,77.2,77.1,107.6,66.3,41.3,60.9,58.1,17.0,17.2,81.1,53.0,1.4,22.6,200,12000.0,83.0,21.0,33.0,10.0,29.0,31.0,62.0,11.0,14.0,5.0,30.0,35.0,19.0,14.0,14.0,0.0,1.0,14.0,18.0,107.0,160.0
2487033,1,983015,CONSTRUCCIONES GONZALO CRESPO PAS PIÉLAGOS,HOME,79.4,78.9,93.2,114.7,-21.5,51.1,46.5,15.2,17.6,60.0,40.5,0.9,61.4,200,12000.0,74.0,22.0,35.0,3.0,22.0,25.0,57.0,21.0,35.0,6.0,24.0,30.0,12.0,13.0,6.0,1.0,0.0,20.0,24.0,68.0,-80.0
2487033,1,979777,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,AWAY,78.5,78.9,114.7,93.2,21.5,53.3,51.3,10.6,40.0,82.4,59.5,2.4,22.1,200,12000.0,90.0,23.0,44.0,11.0,33.0,34.0,77.0,11.0,17.0,16.0,28.0,44.0,24.0,10.0,7.0,0.0,1.0,24.0,20.0,102.0,80.0
2487034,1,982050,GRUPO INMAPA FILIPENSES,AWAY,78.8,80.8,63.5,77.3,-13.8,35.8,27.2,21.4,25.0,70.0,47.5,0.2,50.9,200,12000.0,50.0,14.0,41.0,1.0,16.0,15.0,57.0,19.0,29.0,10.0,28.0,38.0,3.0,19.0,12.0,0.0,2.0,15.0,21.0,38.0,-70.0
2487034,1,981230,ULACIA ZKE,HOME,82.8,80.8,77.3,63.5,13.8,44.5,41.0,24.3,30.0,75.0,52.5,0.5,16.4,200,12000.0,64.0,20.0,35.0,5.0,32.0,25.0,67.0,9.0,11.0,12.0,30.0,42.0,12.0,23.0,9.0,2.0,0.0,22.0,15.0,55.0,70.0
2487035,1,979288,BASKONIA,HOME,88.4,86.3,96.2,65.3,30.9,56.4,56.0,21.8,29.6,76.6,59.5,0.9,28.4,200,12000.0,85.0,30.0,48.0,5.0,19.0,35.0,67.0,10.0,19.0,8.0,36.0,44.0,19.0,21.0,10.0,4.0,6.0,20.0,21.0,101.0,150.0
2487035,1,981440,RECOLETAS SALUD CARBAJOSA,AWAY,84.2,86.4,65.3,96.2,-30.9,35.6,30.1,18.9,23.4,70.4,40.5,0.3,30.9,200,12000.0,55.0,16.0,45.0,3.0,23.0,19.0,68.0,14.0,21.0,11.0,19.0,30.0,6.0,18.0,12.0,6.0,4.0,21.0,20.0,34.0,-150.0
